CONCEPTICON_GLOSS	FREQUENCY	PRESENT	ABSENT
GRAPE	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; vanDort-2007-50
SHEARS	15	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Bangalore-2022-180; MorenoMartinez-2012-360
GLOVE	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Shao-2016-327; vanDort-2007-50
BALL	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
BANANA	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
CAT	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
COW	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
DUCK	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
EAR	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
ELEPHANT	15	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; vanDort-2007-50
