CONCEPTICON_GLOSS	FREQUENCY	PRESENT	ABSENT
CATERPILLAR	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
CLOCK	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; vanDort-2007-50
COAT	12	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
CUP	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Ramanujan-2019-158; vanDort-2007-50
DRESS	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; vanDort-2007-50
ENVELOPE	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
FENCE	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
FLUTE	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Rogic-2013-346; Shao-2016-327
PAN	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Shao-2016-327; vanDort-2007-50
LEOPARD	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; vanDort-2007-50
LOCK	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
PEACH	12	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
RULER	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; Liu-2011-435; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
SKIRT	12	Bangalore-2022-180; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Boukadi-2015-348; Hwang-2021-60; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
TELEVISION	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; vanDort-2007-50
CART	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; Liu-2011-435; Ramanujan-2019-158; Rogic-2013-346; vanDort-2007-50
WHISTLE (INSTRUMENT)	12	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Shao-2016-327
WINDMILL	12	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; MorenoMartinez-2012-360; Shao-2016-327; vanDort-2007-50
PIANO (INSTRUMENT)	12	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; Ramanujan-2019-158; Snodgrass-1980-260; vanDort-2007-50
PEN	11	Boukadi-2015-348; Dimitropoulou-2009-260; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
ALLIGATOR	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
BOW	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
SOFA	11	Bangalore-2022-180; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Boukadi-2015-348; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
DRUM	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
FISH	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260	Dunabeitia-2018-750; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Zhong-2024-1286; vanDort-2007-50
GORILLA	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; vanDort-2007-50
EARRING	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
HARP	11	Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Boukadi-2015-348; Hwang-2021-60; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
JACKET	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2022-500; Hwang-2021-60; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
KETTLE	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
LIP	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
PIPE	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
PLIERS	11	Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Shao-2016-327; vanDort-2007-50
SUITCASE	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; vanDort-2007-50
RACKET	11	Boukadi-2015-348; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260	Bangalore-2022-180; Dimitropoulou-2009-260; Hwang-2021-60; Ramanujan-2019-158; Zhong-2024-1286; vanDort-2007-50
TRUCK	11	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
VASE	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Zhong-2024-1286; vanDort-2007-50
WRISTWATCH	11	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
HAWK	11	Bangalore-2022-180; Boukadi-2015-348; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Tsaparina-2011-260; Zhong-2024-1286	Dimitropoulou-2009-260; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Snodgrass-1980-260; vanDort-2007-50
ROCKING CHAIR	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260	Dunabeitia-2018-750; Dunabeitia-2022-500; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; Zhong-2024-1286; vanDort-2007-50
BARREL	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
BOOT	10	Bangalore-2022-180; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Boukadi-2015-348; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
BOWL	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Shao-2016-327; vanDort-2007-50
BREAD	10	Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; vanDort-2007-50
CAP	10	Bangalore-2022-180; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Boukadi-2015-348; Dunabeitia-2022-500; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
CHISEL	10	Boukadi-2015-348; Dimitropoulou-2009-260; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286; vanDort-2007-50	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; Rogic-2013-346; Shao-2016-327
LADDER	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Zhong-2024-1286; vanDort-2007-50
LETTUCE	10	Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Boukadi-2015-348; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
MOTORCYCLE	10	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2022-500; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
PAINTBRUSH	10	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
SCREWDRIVER	10	Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Boukadi-2015-348; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
SLED	10	Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Boukadi-2015-348; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; vanDort-2007-50
SWEATER	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
VEST	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
TOP (TOY)	10	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Rogic-2013-346; Tsaparina-2011-260; vanDort-2007-50	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Shao-2016-327; Snodgrass-1980-260; Zhong-2024-1286
IRON (PRESSING)	9	Bangalore-2022-180; Dimitropoulou-2009-260; Hwang-2021-60; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Zhong-2024-1286	Boukadi-2015-348; Dunabeitia-2018-750; Dunabeitia-2022-500; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; Tsaparina-2011-260; vanDort-2007-50
ARTICHOKE	9	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
ASHTRAY	9	Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
BLOUSE	9	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
BRUSH	9	Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Zhong-2024-1286; vanDort-2007-50
CAKE	9	Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; vanDort-2007-50
CELERY	9	Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
HORN (INSTRUMENT)	9	Dimitropoulou-2009-260; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Boukadi-2015-348; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
NUT	9	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
SCREW	9	Dimitropoulou-2009-260; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Raman-2013-260; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Boukadi-2015-348; Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Ramanujan-2019-158; Rogic-2013-346; vanDort-2007-50
SPINNING WHEEL	9	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Liu-2011-435; Nishimoto-2005-359; Raman-2013-260; Ramanujan-2019-158; Snodgrass-1980-260; Tsaparina-2011-260	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; MorenoMartinez-2012-360; Rogic-2013-346; Shao-2016-327; Zhong-2024-1286; vanDort-2007-50
STOOL	9	Boukadi-2015-348; Dimitropoulou-2009-260; Dunabeitia-2018-750; Liu-2011-435; MorenoMartinez-2012-360; Raman-2013-260; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Bangalore-2022-180; Dunabeitia-2022-500; Hwang-2021-60; Nishimoto-2005-359; Ramanujan-2019-158; Rogic-2013-346; Shao-2016-327; vanDort-2007-50
STOVE	9	Bangalore-2022-180; Boukadi-2015-348; Dimitropoulou-2009-260; Nishimoto-2005-359; Raman-2013-260; Rogic-2013-346; Snodgrass-1980-260; Tsaparina-2011-260; Zhong-2024-1286	Dunabeitia-2018-750; Dunabeitia-2022-500; Hwang-2021-60; Liu-2011-435; MorenoMartinez-2012-360; Ramanujan-2019-158; Shao-2016-327; vanDort-2007-50
PYRAMID	9	Boukadi-2015-348; Dunabeitia-2018-750; Dunabeitia-2022-500; Liu-2011-435; MorenoMartinez-2012-360; Nishimoto-2005-359; Rogic-2013-346; Zhong-2024-1286; vanDort-2007-50	Bangalore-2022-180; Dimitropoulou-2009-260; Hwang-2021-60; Raman-2013-260; Ramanujan-2019-158; Shao-2016-327; Snodgrass-1980-260; Tsaparina-2011-260
